Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,STENCIL,0.00001818,0,400000,3,64
GPU,STENCIL,0.00003189,0,400000,4,64
CPU,STENCIL,0.00178293,0,400000,0,1
CPU,STENCIL,0.00172704,0,400000,1,1
CPU,STENCIL,0.00173890,0,400000,2,1
CPU,STENCIL,0.00171364,0,400000,3,1
CPU,STENCIL,0.00171418,0,400000,4,1
GPU,STENCIL,0.00001441,1,400000,0,64
GPU,STENCIL,0.00001366,1,400000,1,64
GPU,STENCIL,0.00001364,1,400000,2,64
GPU,STENCIL,0.00001395,1,400000,3,64
GPU,STENCIL,0.00001371,1,400000,4,64
CPU,STENCIL,0.00000000,1,400000,0,1
CPU,STENCIL,0.00000000,1,400000,1,1
CPU,STENCIL,0.00000000,1,400000,2,1
CPU,STENCIL,0.00000000,1,400000,3,1
CPU,STENCIL,0.00000000,1,400000,4,1
GPU,STENCIL,0.00002803,0,800000,0,64
GPU,STENCIL,0.00002761,0,800000,1,64
GPU,STENCIL,0.00004176,0,800000,2,64
GPU,STENCIL,0.00002752,0,800000,3,64
GPU,STENCIL,0.00002783,0,800000,4,64
CPU,STENCIL,0.00338270,0,800000,0,1
CPU,STENCIL,0.00331129,0,800000,1,1
CPU,STENCIL,0.00331462,0,800000,2,1
CPU,STENCIL,0.00327906,0,800000,3,1
CPU,STENCIL,0.00326154,0,800000,4,1
GPU,STENCIL,0.00001847,1,800000,0,64
GPU,STENCIL,0.00001815,1,800000,1,64
GPU,STENCIL,0.00001781,1,800000,2,64
GPU,STENCIL,0.00001790,1,800000,3,64
GPU,STENCIL,0.00001866,1,800000,4,64
CPU,STENCIL,0.00000000,1,800000,0,1
CPU,STENCIL,0.00000000,1,800000,1,1
CPU,STENCIL,0.00000000,1,800000,2,1
CPU,STENCIL,0.00000000,1,800000,3,1
CPU,STENCIL,0.00000000,1,800000,4,1
GPU,STENCIL,0.00004599,0,1600000,0,64
GPU,STENCIL,0.00005753,0,1600000,1,64
GPU,STENCIL,0.00004554,0,1600000,2,64
GPU,STENCIL,0.00004540,0,1600000,3,64
GPU,STENCIL,0.00004613,0,1600000,4,64
CPU,STENCIL,0.00669769,0,1600000,0,1
CPU,STENCIL,0.00658769,0,1600000,1,1
CPU,STENCIL,0.00650276,0,1600000,2,1
CPU,STENCIL,0.00657991,0,1600000,3,1
CPU,STENCIL,0.00646876,0,1600000,4,1
GPU,STENCIL,0.00002790,1,1600000,0,64
GPU,STENCIL,0.00002784,1,1600000,1,64
GPU,STENCIL,0.00003116,1,1600000,2,64
GPU,STENCIL,0.00002782,1,1600000,3,64
GPU,STENCIL,0.00004432,1,1600000,4,64
CPU,STENCIL,0.00000000,1,1600000,0,1
CPU,STENCIL,0.00000000,1,1600000,1,1
CPU,STENCIL,0.00000000,1,1600000,2,1
CPU,STENCIL,0.00000000,1,1600000,3,1
CPU,STENCIL,0.00000000,1,1600000,4,1
GPU,STENCIL,0.00001434,0,50000,0,128
GPU,STENCIL,0.00001096,0,50000,1,128
GPU,STENCIL,0.00001076,0,50000,2,128
GPU,STENCIL,0.00001004,0,50000,3,128
GPU,STENCIL,0.00001029,0,50000,4,128
CPU,STENCIL,0.00021348,0,50000,0,1
CPU,STENCIL,0.00020846,0,50000,1,1
CPU,STENCIL,0.00020836,0,50000,2,1
CPU,STENCIL,0.00021478,0,50000,3,1
CPU,STENCIL,0.00020830,0,50000,4,1
GPU,STENCIL,0.00000964,1,50000,0,128
GPU,STENCIL,0.00000955,1,50000,1,128
GPU,STENCIL,0.00000935,1,50000,2,128
GPU,STENCIL,0.00000942,1,50000,3,128
GPU,STENCIL,0.00000912,1,50000,4,128
CPU,STENCIL,0.00000000,1,50000,0,1
CPU,STENCIL,0.00000000,1,50000,1,1
CPU,STENCIL,0.00000000,1,50000,2,1
CPU,STENCIL,0.00000000,1,50000,3,1
CPU,STENCIL,0.00000000,1,50000,4,1
GPU,STENCIL,0.00001138,0,100000,0,128
GPU,STENCIL,0.00001160,0,100000,1,128
GPU,STENCIL,0.00001114,0,100000,2,128
GPU,STENCIL,0.00001111,0,100000,3,128
GPU,STENCIL,0.00001069,0,100000,4,128
CPU,STENCIL,0.00041851,0,100000,0,1
CPU,STENCIL,0.00042071,0,100000,1,1
CPU,STENCIL,0.00041649,0,100000,2,1
CPU,STENCIL,0.00041622,0,100000,3,1
CPU,STENCIL,0.00042019,0,100000,4,1
GPU,STENCIL,0.00000960,1,100000,0,128
GPU,STENCIL,0.00000908,1,100000,1,128
GPU,STENCIL,0.00000948,1,100000,2,128
GPU,STENCIL,0.00000917,1,100000,3,128
GPU,STENCIL,0.00000969,1,100000,4,128
CPU,STENCIL,0.00000000,1,100000,0,1
CPU,STENCIL,0.00000000,1,100000,1,1
CPU,STENCIL,0.00000000,1,100000,2,1
CPU,STENCIL,0.00000000,1,100000,3,1
CPU,STENCIL,0.00000000,1,100000,4,1
GPU,STENCIL,0.00001390,0,200000,0,128
GPU,STENCIL,0.00001367,0,200000,1,128
GPU,STENCIL,0.00001336,0,200000,2,128
GPU,STENCIL,0.00001394,0,200000,3,128
GPU,STENCIL,0.00001316,0,200000,4,128
CPU,STENCIL,0.00084432,0,200000,0,1
CPU,STENCIL,0.00083688,0,200000,1,1
CPU,STENCIL,0.00083449,0,200000,2,1
CPU,STENCIL,0.00083681,0,200000,3,1
CPU,STENCIL,0.00083617,0,200000,4,1
GPU,STENCIL,0.00001025,1,200000,0,128
GPU,STENCIL,0.00000994,1,200000,1,128
GPU,STENCIL,0.00000990,1,200000,2,128
GPU,STENCIL,0.00000993,1,200000,3,128
GPU,STENCIL,0.00001092,1,200000,4,128
CPU,STENCIL,0.00000000,1,200000,0,1
CPU,STENCIL,0.00000000,1,200000,1,1
CPU,STENCIL,0.00000000,1,200000,2,1
CPU,STENCIL,0.00000000,1,200000,3,1
CPU,STENCIL,0.00000000,1,200000,4,1
GPU,STENCIL,0.00001851,0,400000,0,128
GPU,STENCIL,0.00001749,0,400000,1,128
GPU,STENCIL,0.00001809,0,400000,2,128
GPU,STENCIL,0.00001837,0,400000,3,128
GPU,STENCIL,0.00002281,0,400000,4,128
CPU,STENCIL,0.00172736,0,400000,0,1
CPU,STENCIL,0.00171841,0,400000,1,1
CPU,STENCIL,0.00171672,0,400000,2,1
CPU,STENCIL,0.00170056,0,400000,3,1
CPU,STENCIL,0.00170088,0,400000,4,1
GPU,STENCIL,0.00001447,1,400000,0,128
GPU,STENCIL,0.00001159,1,400000,1,128
GPU,STENCIL,0.00001090,1,400000,2,128
GPU,STENCIL,0.00001118,1,400000,3,128
GPU,STENCIL,0.00001242,1,400000,4,128
CPU,STENCIL,0.00000000,1,400000,0,1
CPU,STENCIL,0.00000000,1,400000,1,1
CPU,STENCIL,0.00000000,1,400000,2,1
CPU,STENCIL,0.00000000,1,400000,3,1
CPU,STENCIL,0.00000000,1,400000,4,1
GPU,STENCIL,0.00002743,0,800000,0,128
GPU,STENCIL,0.00002669,0,800000,1,128
GPU,STENCIL,0.00002675,0,800000,2,128
GPU,STENCIL,0.00002735,0,800000,3,128
GPU,STENCIL,0.00002704,0,800000,4,128
CPU,STENCIL,0.00334316,0,800000,0,1
CPU,STENCIL,0.00326995,0,800000,1,1
CPU,STENCIL,0.00329948,0,800000,2,1
CPU,STENCIL,0.00325908,0,800000,3,1
CPU,STENCIL,0.00330543,0,800000,4,1
GPU,STENCIL,0.00001543,1,800000,0,128
GPU,STENCIL,0.00001399,1,800000,1,128
GPU,STENCIL,0.00001424,1,800000,2,128
GPU,STENCIL,0.00001435,1,800000,3,128
GPU,STENCIL,0.00001424,1,800000,4,128
CPU,STENCIL,0.00000000,1,800000,0,1
CPU,STENCIL,0.00000000,1,800000,1,1
CPU,STENCIL,0.00000000,1,800000,2,1
CPU,STENCIL,0.00000000,1,800000,3,1
CPU,STENCIL,0.00000000,1,800000,4,1
GPU,STENCIL,0.00004676,0,1600000,0,128
GPU,STENCIL,0.00004538,0,1600000,1,128
GPU,STENCIL,0.00004551,0,1600000,2,128
GPU,STENCIL,0.00006191,0,1600000,3,128
GPU,STENCIL,0.00004567,0,1600000,4,128
CPU,STENCIL,0.00647872,0,1600000,0,1
CPU,STENCIL,0.00656133,0,1600000,1,1
CPU,STENCIL,0.00651559,0,1600000,2,1
CPU,STENCIL,0.00651688,0,1600000,3,1
CPU,STENCIL,0.00651480,0,1600000,4,1
GPU,STENCIL,0.00002092,1,1600000,0,128
GPU,STENCIL,0.00002022,1,1600000,1,128
GPU,STENCIL,0.00002110,1,1600000,2,128
GPU,STENCIL,0.00002006,1,1600000,3,128
GPU,STENCIL,0.00002888,1,1600000,4,128
CPU,STENCIL,0.00000000,1,1600000,0,1
CPU,STENCIL,0.00000000,1,1600000,1,1
CPU,STENCIL,0.00000000,1,1600000,2,1
CPU,STENCIL,0.00000000,1,1600000,3,1
CPU,STENCIL,0.00000000,1,1600000,4,1
GPU,STENCIL,0.00001121,0,50000,0,256
