Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,ADDVEC,0.00000786,0,4000,1,256
GPU,ADDVEC,0.00000738,0,4000,2,256
GPU,ADDVEC,0.00000754,0,4000,3,256
GPU,ADDVEC,0.00000796,0,4000,4,256
CPU,ADDVEC,0.00000262,0,4000,0,1
CPU,ADDVEC,0.00000224,0,4000,1,1
CPU,ADDVEC,0.00000224,0,4000,2,1
CPU,ADDVEC,0.00000681,0,4000,3,1
CPU,ADDVEC,0.00000223,0,4000,4,1
GPU,ADDVEC,0.00000829,0,8000,0,256
GPU,ADDVEC,0.00000784,0,8000,1,256
GPU,ADDVEC,0.00000838,0,8000,2,256
GPU,ADDVEC,0.00000847,0,8000,3,256
GPU,ADDVEC,0.00000832,0,8000,4,256
CPU,ADDVEC,0.00000678,0,8000,0,1
CPU,ADDVEC,0.00000446,0,8000,1,1
CPU,ADDVEC,0.00000445,0,8000,2,1
CPU,ADDVEC,0.00000445,0,8000,3,1
CPU,ADDVEC,0.00000445,0,8000,4,1
GPU,ADDVEC,0.00000849,0,16000,0,256
GPU,ADDVEC,0.00000791,0,16000,1,256
GPU,ADDVEC,0.00000846,0,16000,2,256
GPU,ADDVEC,0.00000790,0,16000,3,256
GPU,ADDVEC,0.00000802,0,16000,4,256
CPU,ADDVEC,0.00001527,0,16000,0,1
CPU,ADDVEC,0.00000891,0,16000,1,1
CPU,ADDVEC,0.00000890,0,16000,2,1
CPU,ADDVEC,0.00000895,0,16000,3,1
CPU,ADDVEC,0.00000890,0,16000,4,1
GPU,ADDVEC,0.00000857,0,32000,0,256
GPU,ADDVEC,0.00000794,0,32000,1,256
GPU,ADDVEC,0.00000811,0,32000,2,256
GPU,ADDVEC,0.00000859,0,32000,3,256
GPU,ADDVEC,0.00000830,0,32000,4,256
CPU,ADDVEC,0.00003206,0,32000,0,1
CPU,ADDVEC,0.00001786,0,32000,1,1
CPU,ADDVEC,0.00001780,0,32000,2,1
CPU,ADDVEC,0.00001779,0,32000,3,1
CPU,ADDVEC,0.00001779,0,32000,4,1
GPU,ADDVEC,0.00001097,0,1000,0,1024
GPU,ADDVEC,0.00001027,0,1000,1,1024
GPU,ADDVEC,0.00000997,0,1000,2,1024
GPU,ADDVEC,0.00000994,0,1000,3,1024
GPU,ADDVEC,0.00000934,0,1000,4,1024
